|user|item|rating|review
115|as.pilot.com|poco x3 pro|9.5|bought for 18000r and for this money he is ideal
116|goodskiller409|poco x3 pro|8.5|very good mobile for the price
117|christianpulpo042|poco x3 pro|9.0|great smartphone 
118|LuizFernando|poco x3 pro|9.7|great cell phone
119|Nekitt|poco x3 pro|9.0|great smartphone for your money
120|juliosanabria2018xz|poco x3 pro|10.0|an excellent mobile that meets all the required needs
121|anonymous_272523_60db564548209|poco x3 pro|9.5|i can not ask for more
122|falcon719|poco x3 pro|10.0|the best cell phone you can buy at an affordable price
123|m.scivicco|poco x3 pro|8.8|great smartphone
124|robsonkgm|poco x3 pro|8.0|very good for games and emulation
125|TitanicNevada|poco x3 pro|10.0|the best terminal i have ever owned
126|ronfew4|poco x3 pro|9.5|excellent device for gamers
127|xsancho1997|poco x3 pro|9.6|very good battery and processor it is very fluid
128|vicentecartagena33|poco x3 pro|10.0|fluid
129|joaomaferreira|poco x3 pro|10.0|very good
130|javier.chk.l|poco x3 pro|9.9|exceptional quality / price ratio
131|Rogers|poco x3 pro|9.0|it is good but the brightness on the screen falters a lot
132|enmanuel4567|poco x3 pro|10.0|excellent device
133|andriupro08|poco x3 pro|9.3|perfect
134|Strongest|poco x3 pro|9.2|three remarkable things battery performance and flash 
135|Andresfv|poco x3 pro|9.0|great if you install a rom
136|idoyatov88|poco x3 pro|10.0|great smartphone
137|exzot0303|poco x3 pro|10.0|great gaming smartphone
138|johnny.delacruz14|poco x3 pro|8.9|price quality
139|davidibarra43|poco x3 pro|9.3|so far i have a good experience
140|nino-lapille-61cdd0f3204b3|poco x3 pro|9.2|fluid and efficient phone but not very enduring in terms of battery
141|IspiderI|poco x3 pro|9.6|i have nothing to complain about 
142|manuelavilacoria|poco x3 pro|8.5|the little x3 pro is a good cell phone for gaming
143|tamikmarzoev9|poco x3 pro|10.0|excellent phone
144|melehazar|poco x3 pro|9.4|very fluid thanks to its screen and processor
145|paulgodie|poco x3 pro|7.8|excellent device somewhat heavy but good for its price
146|heythorfelip|poco x3 pro|7.8|a good phone overall but it has its caveats
147|rgaldonrebolloso|poco x3 pro|10.0|very happy at that price the best
148|nicolasgonzalez1080p|poco x3 pro|9.4|the phrase price/quality fits like a glove 
149|Piter|poco x3 pro|8.7|a mobile with good features
150|vamopaphu|poco x3 pro|9.0|tremendous cell phone for the price
151|vovain5|poco x3 pro|5.0|doubtful xiaomi disappointed
152|idwiuf|poco x3 pro|9.6|it is a very good cell phone for its power
153|evebentos46|poco x3 pro|9.4|i love very good autonomy and performance
154|veronika-kamito-61d0ce1df0436|poco x3 pro|9.9|gorgeous night photos good sound great performance under load
155|zachemgandagi123|poco x3 pro|9.5|in general i am satisfied the performance is on a level i am satisfied with the camera
156|srafaelitocs|poco x3 pro|8.8|the most powerful and cheap at the time
157|daniel5|poco x3 pro|9.5|very good mobile
158|oswaldo7777201278|poco x3 pro|9.0|like a rocket
159|Yunin|poco x3 pro|9.2|awesome smartphone
160|dinis.tj|poco x3 pro|9.6|the cell phone is good and i think that whoever buys it will have a good experience
161|JoseangelMj|poco x3 pro|4.6|i do not think it is a good mobile for daily use
162|dorulis2000|poco x3 pro|7.7|honestly i am not convinced
163|diazemi568|poco x3 pro|9.0|pretty good for gaming
164|v.s.egorov07|poco x3 pro|9.5|glitter stripe on back cover adhesive tape
165|davidaguado64|poco x3 pro|9.1|mobile price features brutal
166|jmalmeidaf|poco x3 pro|9.7|best price/quality option
167|left_dead_2|poco x3 pro|9.8|the best mobile you can buy for less than $ 300
168|atomsouldx|poco x3 pro|6.9|although it is a good equipment it overheats and the circuits can be burned it is not worth it but still the phone is good
169|juancanoluis|poco x3 pro|9.7|it is a good terminal although the battery does not work  maybe with an update they will improve it
170|bsanch586|poco x3 pro|9.5|raw power at low cost
171|livio.bogani|poco x3 pro|9.1|everything perfect except the photographic sector
172|absdbs2014|poco x3 pro|8.1|powerful for the price recommended but miui gives problems
173|adrianpochochu|poco x3 pro|6.5|good performance at a contained price
174|gabrielalves398g|poco x3 pro|9.7|powerful smartphone 
175|ByAlonso|poco x3 pro|10.0|release it
176|gaelzabdiel|poco x3 pro|9.6|heavy but powerful
177|elielmartinho7578|poco x3 pro|9.0|great smartphones for gaming it runs everything very fluid and graphics in max
178|giraldomiguel123456|poco x3 pro|10.0|simply the best
179|salomonalanbre|poco x3 pro|9.5|satisfactory
180|anoguezderegil|poco x3 pro|6.9|okay
181|diegopauldiazcespeded92|poco x3 pro|9.3|it is fine it does not bother me at all
182|tadeuandradesv|poco x3 pro|8.0|honest
183|orlando-villegas-63880d4b88bae|poco x3 pro|9.6|the best cell phone out there for that price
184|lagosariel098|poco x3 pro|8.4|it is a mobile that for daily use and games works quite well
185|alekeymarin50|poco x3 pro|9.0|for games
186|ValdoLpz|poco x3 pro|8.8|for games it is god but 
187|jesus-morales-60d80b873c0ae|poco x3 pro|8.9|excellent i hope they keep updating it for quite some time
188|SHGAlex|poco x3 pro|9.8|my experience with the equipment is good it is a great mid range even high mid range
189|gerson-hidalgo-6173a38912818|poco x3 pro|9.7|a very interesting experience on a day to day basis
190|apr58216|poco x3 pro|7.4|it is within the average in its range
191|josemilton1274|poco x3 pro|9.2|definitive power price
192|hhu1985|poco x3 pro|9.4|good mobile
193|eidersonmarquez1|poco x3 pro|10.0|horrible battery
194|pedroltcarvalho|poco x3 pro|9.3|very fluid never let me down if the screen was amoled it was perfect
195|Mistli|poco x3 pro|5.0|good phone but it died out of nowhere and better not buy it they do not give a guarantee
196|alejandro.deluna.villanueva|poco x3 pro|9.4|excellent device
197|damr116|poco x3 pro|9.3|an excellent smartphone
198|clebrsqueiros|poco x3 pro|8.4|cheap this monster
199|lucascelis988|poco x3 pro|7.1|it is good in daily use and there is nothing wrong with the price for what i pay i am satisfied
200|dacapolo.silva|poco x3 pro|9.3|best smartphone under 2000 r$
201|roosevelt275|poco x3 pro|10.0|top photos games apps runs smooth does not heat up and can take high tumbles very resistant to falls
202|diman111122222|poco x3 pro|9.9|ideally
203|erick.cruz.jim|poco x3 pro|8.7|a very good mobile
204|NestorKa_|poco x3 pro|9.3|excellent mobile but 
205|jp.rv82|poco x3 pro|9.9|perfect
206|aguilarmontgomery|poco x3 pro|7.1|good device highly recommended in the middle of 2023
207|amintahtahtoumi|poco x3 pro|9.0|very good value for money
208|dieimes.htm|poco x3 pro|9.6|great phone
209|par58oleg|poco x3 pro|3.5|do not recommend
210|aleksan_2002|poco x3 pro|10.0|if you put gcam then cool for your money
211|582471693g|poco x3 pro|8.1|good
212|flautamania|poco x3 pro|9.2|it is a very good phone
213|jesus-alexis-60c9223c1b3d2|poco x3 pro|9.5|half satisfied
214|asiergarcia1993|poco x3 pro|10.0|perfect for gaming and demanding apps
215|sergio-gabriel-6259afd139686|poco x3 pro|9.0|and one of the best mid range and cheapest phones
216|pelayo-ax-6174d6c0121bf|poco x3 pro|8.8|very good
217|sergioy20011|poco x3 pro|9.3|it is a good cell phone in high mid range quality price 
218|kallichef|poco x3 pro|6.1|poly disco stin xrisi
219|oliveirav3|poco x3 pro|10.0|great value for money there is no other that beats him for the imported price
220|kuperfild1111|poco x3 pro|8.6|while completely satisfied 
221|Eric_CF|poco x3 pro|9.6|the best 
222|castillomox|poco x3 pro|9.0|a very balanced team and more than fluid
223|LuisFer|poco x3 pro|9.5|very good device but can improve
224|starosuka|poco x3 pro|10.0|worth the money
225|sonicelerizogamerxd|poco x3 pro|10.0|it fits you
226|francisf.carlos|poco x3 pro|10.0|it is a very good cell phone especially for games
227|roly2792|poco x3 pro|8.3|everything is ok until now
228|juanpagh28|poco x3 pro|10.0|good equipment but may have a better camera
229|vincentiusnike17|poco x3 pro|10.0|real the beast 
230|ladrianst117|poco x3 pro|8.8|good product for the price with a better update policy it would be perfect
231|dedovk66|poco x3 pro|9.6|great phone pleased with the battery processor and price 
232|fandar97|poco x3 pro|10.0|a groundbreaking smartphone
233|rai.ixta|poco x3 pro|9.8|it met all my expectations
234|maximiliano12092007|poco x3 pro|9.3|my best buy
235|jblgamerx|poco x3 pro|9.5|it is a very good device for continuous use and much masn
236|Aslan|poco x3 pro|9.0|the best smartphone in its price segment
237|msanchezaxr|poco x3 pro|7.1|it is a normal mobile
238|erick-bailiot-617730862984c|poco x3 pro|9.9|it is a very powerful smartphone excellent cost/benefit
239|juan-mazapan-620375a65eb01|poco x3 pro|9.0|it is a good nice and cheap phone
240|luis2001henrique|poco x3 pro|9.2|great phone for games and everyday activities with very good battery and charging above average performance
241|gt.honor8|poco x3 pro|9.4|fantastic device
242|juan-jose-albarello-618bbcc396679|poco x3 pro|9.6|excellent phone for a reasonable price
243|samurli395|poco x3 pro|9.4|you cannot ask for more for its price
244|dubian795|poco x3 pro|8.9|excellent mobile quality price
245|tehnika507|poco x3 pro|5.5|pretty normal smartphone
246|Alreso|poco x3 pro|10.0|fast nice e battery boa
247|rex.shdez|poco x3 pro|7.2|a mobile that offers good features for its price
248|cmglez10|poco x3 pro|10.0|an incredibly cheap brown beast
249|anonymous_297127_621713935c819|poco x3 pro|8.8|very good
250|SERGIODEFJAM|poco x3 pro|9.0|perfect for playing
251|Pere|poco x3 pro|8.2|decent but better options currently
252|bambuk2k17|poco x3 pro|4.5|i will tell you about this gadget in fact as it is in life without numbers sofa analytics and so on
253|toribioezequiel18|poco x3 pro|9.2|very good and the performance it has predominates
254|yushevchenko0408|poco x3 pro|9.0|powerful gaming phone at the right price
255|juliangallardomicrosoft|poco x3 pro|8.0|only power and battery
256|bestiny.caplan|poco x3 pro|8.5|price quality
257|arthurbxweb|poco x3 pro|8.7|it is still a good gaming phone but it gets too hot
258|kumaki8024|poco x3 pro|9.4|it is a very powerful mobile the very fast one has everything one needs
259|ciberpiratux|poco x3 pro|8.9|miui kills the experience
260|carlosfierropozo|poco x3 pro|8.9|excellent device despite the time it is still a fierce beast
261|esquizoINFP|poco x3 pro|9.0|want to play catch the little 
262|teohh1|poco x3 pro|10.0|it is a very powerful phone excellent photos battery and very fluid screen
263|criscespedes040131|poco x3 pro|7.6|it is pretty good but it could be better
264|user0033anonymus|poco x3 pro|7.9|device quality price
265|luistadeoitc|poco x3 pro|10.0|incredible
266|leonel23segov9|poco x3 pro|6.6|it was good while it lasted
267|klaudionorambuena|poco x3 pro|9.1|very good phone reliable and efficient good battery and charges quite quickly
268|hawkons2021|poco x3 pro|10.0|great phone best for this price
269|manuelbarrerofuster|poco x3 pro|10.0|impressive mobile it is incredible i have had it for a few gods and everything is going well
270|gt250comet|poco x3 pro|9.0|the best for its price
271|eudes.macross|poco x3 pro|7.7|very good
272|reki_otsujvergara|poco x3 pro|10.0|excellent powerful cell phone and good battery
273|jose.figueroa.gonzalez1|poco x3 pro|8.7|good phone in general except for the weight
274|luisasantiagom|poco x3 pro|10.0|a great change
275|mamm.antonio.marquez.macias|poco x3 pro|10.0|it is an excellent device the processor that it integrates is the best in its range if what you are looking for is power it is the best option
276|gianlucasuccicim|poco x3 pro|9.0|great phone as long as you find it at the right price
277|aaronsalazar333|poco x3 pro|7.6|a cell phone that i highly recommend to anyone who wants to play demanding games
278|zeravlagamer18|poco x3 pro|7.8|off road mobile at an affordable price
279|jose-sanchez-618d89e2db882|poco x3 pro|8.3|it is a great team at low cost great user experience and performance
280|a6013357|poco x3 pro|8.7|super good performance great for work and gaming applications
281|horticou45|poco x3 pro|9.2|well
282|montesp316|poco x3 pro|9.1|quality / price the best device in this price range
283|steven-ceballos-637e9344bf64b|poco x3 pro|8.6|price quality
284|miltonjosephflores|poco x3 pro|9.1|the king quality price
285|drodrigomez|poco x3 pro|9.4|balanced smartphone
286|Wesley6547744|poco x3 pro|6.6|mobile network and wifi on this phone are terrible
287|silver_wolf1023|poco x3 pro|7.5|one of the best options in terms of power / price
288|cristhian-benavides-626a9772cc5fc|poco x3 pro|5.7|good only in power
289|ssantos21985|poco x3 pro|9.2|the best device i have ever owned
290|azael-lopez-6092faf3436c9|poco x3 pro|8.6|it is an excellent mobile
291|ej71523|poco x3 pro|8.6|pretty good
292|sergiorobles951|poco x3 pro|5.9|there had to be a problem
293|River225|poco x3 pro|9.0|excellent
294|zhkbecod|poco x3 pro|9.1|good phone still effective for daily use over the long term
295|xxkleverxx|poco x3 pro|10.0|power over everything
296|sergio-pinho-63362e9b7225c|poco x3 pro|9.6|for the price at the time 220 this phone is simply the complete package and the best quality/price ratio
297|kostyachaika25|poco x3 pro|9.7|the smartphone is really for gamers or users who want a reliable and durable device
298|dr.mariosaucedo|poco x3 pro|8.7|very good
299|arthurzinho2104|poco x3 pro|10.0|powerful and very cheap cell phone not to mention the good battery
300|demianslzrr|poco x3 pro|9.0|good mobile at a good price
301|manholopesh|poco x3 pro|10.0|bought with an offer at 160 incredible for this price
302|ddicemaster|poco x3 pro|10.0|great for games
303|phantommini1|poco x3 pro|9.4|a good phone
304|phillip-brooks-62c8073a31f14|poco x3 pro|7.7|good phone overall
305|Stepien64|poco x3 pro|10.0|cool screen could be amoled
306|FernandoSV|poco x3 pro|9.5|very good but with a little warming
307|rinaldo-garbin-munhoz-617e558477fe6|poco x3 pro|8.9|good cheap and almost beautiful
308|uellitonlucas1|poco x3 pro|9.0|it delivers what it promises
309|jordanantony15|poco x3 pro|9.0|i liked
310|edezay5|poco x3 pro|10.0|excellent mobile
311|joselote777888|poco x3 pro|9.7|device 10 out of 10 for any type of user does not disappoint in any aspect
312|aldemar-perez-621d4b5f7193e|poco x3 pro|9.4|good although sometimes it overheats a bit
313|jospergui|poco x3 pro|7.0|acceptable but leaves a lot to be desired
314|mizexpl|poco x3 pro|9.2|a decent phone at a good price p
315|vag8042|poco x3 pro|7.2|quite happy
316|dima.polka09|poco x3 pro|9.4|good for the price
317|ezequielglez|poco x3 pro|8.0|it seems to me one of the best quality / price phones that i have tried
318|Hembarren|poco x3 pro|9.7|very good competent mobile with the best at a very good price
319|nicolasarturoflorezdiaz|poco x3 pro|9.5|it is very fluid and does not get stuck
320|kabaretwyjscieawaryjne|poco x3 pro|9.7|usain bolt among smartphones
321|sebastien.picherot|poco x3 pro|9.8|best price quality
322|diegovelasquez787|poco x3 pro|9.5|in general it is a great team especially in the quality price
323|EPHREM|poco x3 pro|9.3|excellent phone extremely powerful
324|fercho2824|poco x3 pro|10.0|a beast
325|emil_costra|poco x3 pro|9.1|one of the cheapest mobile devices on the current market
326|omaralejandrotr101|poco x3 pro|10.0|it is an incredible cell phone and super cheap 
327|ahmianhn1|poco x3 pro|8.4|a cheap mobile with a high end processor of the time the best mid range mobile of its time
328|dmitriev-nikita-60a997cf12ac8|poco x3 pro|10.0|super
329|thiago-lopes-61ef94f96a6c3|poco x3 pro|8.0|good value for money some points that could be better
330|maurokr|poco x3 pro|9.2|the best quality price in gross power
331|gtlamepanda|poco x3 pro|10.0|excellent
332|nfernandoyvan|poco x3 pro|9.1|almost perfect
333|elpirra09|poco x3 pro|8.9|good equipment and powerful for games i would only add better sound and better screen
334|bemein|poco x3 pro|1.2|keeps losing internet connection on wifi so it is useless for me otherwise i would be happy with it
335|antuan-andres-calderon-61bfc1185e17d|poco x3 pro|9.5|the quality price king of 2021 has been just as i imagined it when i bought it
336|luis-vargas-617757c59bb64|poco x3 pro|9.5|an excellent device to play
337|jsuares11|poco x3 pro|9.5|good fellow
338|ahuactzinjavi|poco x3 pro|10.0|excellent
339|josue-antelo-fernandez-620b0f8c581f9|poco x3 pro|8.4|very good phone if you are one of those who use very demanding games and apps
340|cuervotc7|poco x3 pro|8.8|an ideal phone for what you have
341|rockyro9521|poco x3 pro|9.4|a very good gaming mobile and for daily use it has everything you need and of good quality
342|josafat-martinez-620b1f40b9016|poco x3 pro|8.5|good phone with good power
343|luisblancogonzalez02|poco x3 pro|8.7|improvable
344|lennonhrd|poco x3 pro|8.4|excellent device
345|msdrawner|poco x3 pro|8.5|excellent mobile but 
346|dragonray1205|poco x3 pro|9.5|great phone for every cent invested in it and hello to all the haters 
347|pedro-angel-angulo-reyna-62cbc07dc02a1|poco x3 pro|7.0|it is good but there is something i do not like
348|eltitovicentito|poco x3 pro|9.6|very powerful mobile with good battery
349|mezmorg|poco x3 pro|9.5|it is the best mobile i have ever had and it is the best value for money
350|kalakaschidas4|poco x3 pro|9.7|a value for money beast
351|pudinlatixa|poco x3 pro|9.3|this mobile is amazing
352|LDantasA|poco x3 pro|10.0|excellent value for money and incredible performance
353|jgaleano164|poco x3 pro|7.4|price quality
354|wagner_delima|poco x3 pro|7.0|i expected more
355|mendik2010|poco x3 pro|10.0|the best option price quality even for 22 23 years
356|viloriobebedor|poco x3 pro|9.9|a brutal terminal even better than the little more modern
357|sdiamant60|poco x3 pro|9.0|very good power/price ratio
358|davidmtrallero|poco x3 pro|8.1|excellent mobile great features at a moderate price
359|campismo-excursion-6393b0d58b88b|poco x3 pro|6.0|okay
360|gadanlife|poco x3 pro|9.9|the best quality price cell phone i bought it at 4199 so it was the best
361|misasouzas|poco x3 pro|8.8|excellent value for money
362|David.Chafla|poco x3 pro|9.0|excellent
363|juanangelab244|poco x3 pro|7.6|good phone for its price
364|frank-ponce-6086efebcad36|poco x3 pro|9.4|good quality price
365|LucasHonorio|poco x3 pro|6.7|cheap and basic
366|gustavonewgate20|poco x3 pro|8.9|powerful cell phone with good cost benefit but poco's updates leave something to be desired
367|jassiel030321|poco x3 pro|9.4|i love its power
368|yairmendez814|poco x3 pro|7.6|the only problem i had was with the camera and overheating
369|andreslagoss17|poco x3 pro|10.0|100% recommendable
370|memberjuniorxda|poco x3 pro|9.1|great value
371|4321samuelchino|poco x3 pro|9.6|the best mid range there is no one who competes for the price
372|y.apaza.ic|poco x3 pro|8.7|excellent for gaming
373|ffrraann22.fb|poco x3 pro|9.2|very good but with average camera
374|13655700jimmy|poco x3 pro|8.8|excellent price quality
375|gulzatadile|poco x3 pro|9.0|a great option for games and indeed for everyday use of the minuses i can note the large weight dimensions and heating
376|authremi|poco x3 pro|5.4|many mistakes there are better options
377|franklinferrer968|poco x3 pro|10.0|good tech machine
378|jairoortega89|poco x3 pro|9.4|the best in its price
379|cesar-molina-guzman-61df60a497907|poco x3 pro|6.9|it overheats a lot
380|dcardosoroque|poco x3 pro|8.8|very complete for its price
381|galuskinzena7|poco x3 pro|10.0|excellent
382|rendirsejamas615|poco x3 pro|9.1|a king in quality price
383|NerdPlaysMaster100|poco x3 pro|9.5|best value 
384|mahkambek57|poco x3 pro|10.0|smartphone top 
385|BilimMan|poco x3 pro|9.3|really good phone
386|johanstivengarcianino21|poco x3 pro|8.4|all very well except miui and its bugs
387|satoukazumagaming|poco x3 pro|9.7|great experience for a great value
388|erick-erroa-6158dbb0ad73a|poco x3 pro|9.0|a good team to play
389|pincopal84|poco x3 pro|8.5|the smartphone with unbeatable value for money 
390|stuarlitler65|poco x3 pro|10.0|excellent mobile goes well in daily use and its battery is very good
391|Yutazu|poco x3 pro|10.0|a very cool agile comfortable beautiful cell phone
392|efrencastro318|poco x3 pro|10.0|excellent phone for its price
393|kemal.altin|poco x3 pro|5.9|a good everyday smartphone without highlights
394|angelcape01|poco x3 pro|9.6|very good phone and an excellent purchase
395|GuiBMilan|poco x3 pro|8.9|extremely fluid display 120hz performance for anything to spare fast charging nice camera for the price
396|maksimlisakov2006|poco x3 pro|8.1|best if flash
397|julian8721|poco x3 pro|10.0|it is a very very good mobile
398|2011november15|poco x3 pro|9.2|very nimble top for your money
399|droback-dan-62bcaca7942a6|poco x3 pro|9.5|the quality/price phone par excellence worthy representative of the poco family
400|dilancio-rancio-61d75e159c821|poco x3 pro|9.6|the king of value for money
401|cristal192416|poco x3 pro|9.1|good phone for a good price
402|Krystor|poco x3 pro|8.9|best quality price report
403|mortiljc2017|poco x3 pro|9.2|the best cell phone quality price
404|saken-dzhumadilov-6375b6aca1fe7|poco x3 pro|7.9|good phone for your money
405|lopante2004|poco x3 pro|7.2|good if you are looking for something to play for little money
406|DaniStyle18|xiaomi redmi note 10 pro|9.4|it is a very good phone it has good specifications at a good price
407|MarioFlow|xiaomi redmi note 10 pro|9.0|the best cheapest phone on the market
408|pranavkolambkar23|xiaomi redmi note 10 pro|9.5|awesome budget phone with miui as a con
409|wsadwsad012012|xiaomi redmi note 10 pro|7.5|good mobile phone
